work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,0,2,Research Scientist,42000,40,1,37,2
2022,1,2,Head of Data,200000,38,2,48,1
2021,1,2,Machine Learning Engineer,66265,27,0,25,2
2020,0,2,Data Analyst,6072,27,0,25,0
2021,1,2,Data Analyst,71786,8,2,6,1
2020,0,2,Machine Learning Engineer,250000,55,1,48,2
2021,2,2,Applied Machine Learning Scientist,423000,55,1,48,2
2021,2,2,Data Scientist,46809,18,2,16,1
2022,1,2,Data Analyst,106260,55,2,48,1
2021,1,2,Data Engineering Manager,174000,55,2,48,2
2022,2,2,Applied Machine Learning Scientist,75000,6,2,48,2
2022,1,2,Data Engineer,78526,20,0,18,1
2021,1,2,Research Scientist,96113,8,1,6,2
2022,2,2,Business Data Analyst,70912,8,1,6,2
2022,1,2,Data Analyst,170000,55,2,48,1
2022,1,2,Data Analyst,110925,55,2,48,1
2022,2,2,Data Engineer,68147,19,2,17,1
2020,1,2,Data Science Manager,190200,55,2,48,1
2022,1,2,Data Engineer,160080,55,0,48,1
2021,0,2,BI Data Analyst,55000,55,1,48,0
2022,2,2,Applied Data Scientist,157000,55,2,48,2
2021,2,2,Data Engineer,28369,36,1,33,2
2022,3,2,Data Engineer,242000,55,2,48,1
2021,1,2,Data Science Manager,174000,55,2,48,2
2021,2,2,Data Scientist,75774,8,2,6,2
2022,1,2,Machine Learning Engineer,189650,55,0,48,1
2022,1,2,Data Engineer,128875,55,2,48,1
2022,2,2,Data Analyst,75000,8,0,6,1
2022,2,2,Data Analyst,167000,55,2,48,1
2021,2,2,Data Analyst,62000,55,0,48,2
2022,2,2,Machine Learning Engineer,87932,19,2,12,1
2021,3,2,Head of Data,235000,55,2,48,2
2022,1,2,Data Scientist,140400,55,0,48,2
2022,1,2,Data Analyst,105000,55,2,48,1
2021,2,2,Data Engineer,200000,55,2,48,2
2022,1,2,Machine Learning Engineer,120000,0,2,0,0
2022,2,2,Data Engineer,58894,20,2,18,1
2022,2,0,Data Scientist,100000,8,2,48,1
2021,1,2,Data Engineer,165000,55,0,48,1
2022,1,2,Data Analyst,135000,55,2,48,1
2022,1,2,Data Scientist,150000,55,0,48,1
2022,3,2,Analytics Engineer,175000,55,2,48,1
2022,1,2,Data Scientist,180000,55,0,48,1
2020,2,2,Business Data Analyst,135000,55,2,48,2
2022,1,2,Data Analyst,128875,55,2,48,1
2020,2,2,Data Science Consultant,103000,55,2,48,2
2021,0,2,Data Scientist,80000,55,2,48,1
2021,0,2,Data Scientist,28399,27,2,25,1
2022,1,2,Data Scientist,123000,55,2,48,1
2022,1,2,Data Analytics Manager,105400,55,2,48,1
2020,2,2,Data Scientist,138350,55,2,48,1
2021,1,2,Director of Data Engineering,113476,20,2,18,1
2022,2,2,Data Analyst,58000,55,0,48,0
2022,2,2,Data Engineer,82900,55,0,48,1
2021,2,2,Data Scientist,16904,27,2,25,0
2022,0,2,Data Scientist,52396,8,2,6,2
2022,1,2,Data Analyst,84900,55,2,48,1
2021,1,2,Director of Data Science,168000,32,0,29,0
2021,2,2,Data Engineer,93150,55,0,48,1
2022,2,2,Data Scientist,135000,55,2,48,2
2022,1,2,Data Analyst,112900,55,2,48,1
2020,0,2,Data Analyst,10000,39,2,36,0
2022,2,2,Data Engineer,87932,21,2,19,1
2022,2,2,Data Analyst,106260,55,0,48,1
2021,1,2,Data Science Manager,54094,27,1,48,2
2022,1,2,Data Analytics Lead,405000,55,2,48,2
2022,1,2,Data Scientist,165000,55,2,48,1
2021,2,2,Research Scientist,62649,19,1,17,1
2022,1,2,Machine Learning Engineer,220000,55,2,48,1
2022,2,2,Data Scientist,141300,55,0,48,1
2021,2,2,Data Engineer,90000,55,2,48,2
2022,1,2,Data Engineer,100800,55,2,48,2
2022,1,2,Data Engineer,113000,55,0,48,2
2022,1,2,Data Analyst,124190,55,2,48,1
2022,3,2,Data Engineer,216000,55,2,48,1
2021,0,2,Applied Data Scientist,110037,20,0,18,2
2022,1,2,Data Scientist,210000,55,2,48,1
2021,0,1,AI Scientist,12000,7,2,48,0
2021,2,2,Data Scientist,82500,55,2,48,0
2021,0,2,Data Engineer,21637,27,1,25,1
2022,1,2,Data Engineer,101570,55,2,48,1
2021,2,2,Financial Data Analyst,450000,55,2,48,2
2022,1,2,Machine Learning Engineer,189650,55,0,48,1
2022,1,2,Data Scientist,120000,55,0,48,2
2021,0,2,Business Data Analyst,59102,34,2,31,2
2022,2,2,Data Scientist,90000,55,0,48,1
2022,1,2,Data Analyst,80000,55,2,48,1
2021,0,2,Data Analyst,50000,55,2,48,1
2021,1,2,Finance Data Analyst,61896,20,1,18,2
2021,2,2,Data Scientist,37825,18,2,16,2
2022,1,2,Data Scientist,180000,55,0,48,2
2021,0,2,Data Scientist,36643,19,1,17,2
2022,1,2,Data Scientist,80000,55,0,48,1
2022,2,2,Data Engineer,65949,21,2,19,1
2022,1,2,Machine Learning Engineer,120000,55,2,48,1
2022,1,2,Data Scientist,260000,55,2,48,1
2022,1,2,Data Architect,213120,55,2,48,1
2022,1,2,Data Analytics Manager,145000,55,2,48,1
2021,2,2,Principal Data Scientist,151000,55,2,48,2
2022,2,2,Data Engineer,87932,18,2,16,1
2022,2,2,Machine Learning Scientist,160000,55,2,48,2
2021,2,2,Data Scientist,56256,20,1,18,2
2022,3,2,Head of Data Science,224000,55,2,48,1
2020,0,2,Data Engineer,54742,43,2,12,2
2021,1,2,Data Analytics Manager,140000,55,2,48,2
2021,1,2,Lead Data Scientist,40570,27,1,25,2
2022,1,2,Data Engineer,160000,55,2,48,1
2022,1,2,Data Scientist,158200,55,2,48,2
2022,1,2,Data Engineer,145000,55,2,48,1
2022,1,2,Data Scientist,140400,55,0,48,2
2022,1,2,Data Engineer,115000,55,2,48,1
2022,1,2,Data Analyst,60000,55,2,48,1
2022,2,2,Data Analyst,52351,20,2,18,1
2022,0,2,Machine Learning Engineer,37300,20,2,18,2
2022,1,2,Data Scientist,140000,55,2,48,1
2022,2,2,Data Engineer,170000,55,2,48,1
2022,1,2,Data Engineer,200100,55,2,48,1
2022,1,2,Data Engineer,100000,55,2,48,1
2022,2,2,Data Science Manager,241000,55,2,48,1
2021,1,2,Lead Data Engineer,103160,20,2,18,0
2021,2,2,Data Scientist,5679,27,2,48,0
2022,1,2,Data Engineer,160000,55,2,48,1
2022,1,2,Data Scientist,104890,55,2,48,1
2022,1,2,Data Engineer,105000,55,2,48,1
2022,2,2,ETL Developer,54957,21,0,19,1
2022,2,2,Data Engineer,52351,20,0,18,1
2021,2,2,Data Scientist,150000,55,2,48,1
2022,2,2,Data Scientist,78000,55,2,48,1
2021,1,2,Data Analyst,200000,55,2,48,2
2022,1,2,Data Analyst,116000,55,0,48,1
2022,2,2,Data Engineer,76940,18,2,16,1
2021,3,2,Director of Data Science,130026,14,1,12,1
2022,1,2,Data Scientist,120160,55,2,48,1
2021,2,2,ML Engineer,63711,32,1,29,0
2022,2,2,Data Scientist,71982,20,0,18,1
2021,1,2,Machine Learning Engineer,24342,27,2,25,2
2022,3,2,Data Engineer,324000,55,2,48,1
2021,1,2,Machine Learning Engineer,185000,55,1,48,2
2021,1,2,Director of Data Engineering,200000,55,2,48,2
2021,0,2,Machine Learning Scientist,225000,55,2,48,2
2021,2,2,Big Data Engineer,60000,18,1,42,1
2022,1,2,Machine Learning Engineer,65000,0,2,0,0
2022,1,2,Data Analyst,132000,55,0,48,1
2022,3,2,Head of Machine Learning,79039,27,1,25,2
2021,1,2,Machine Learning Scientist,225000,55,2,6,2
2022,1,2,Data Scientist,210000,55,2,48,1
2022,0,2,Data Scientist,18442,27,2,25,1
2022,1,2,Data Scientist,95550,55,0,48,1
2021,2,2,Data Scientist,9466,27,0,25,0
2022,1,2,Data Analyst,170000,55,2,48,1
2021,1,2,Data Science Manager,94665,27,1,25,2
2022,1,2,Data Scientist,140400,55,0,48,1
2020,2,2,Data Engineer,106000,55,2,48,2
2021,1,2,Data Engineer,115000,55,2,48,0
2022,0,2,Data Engineer,65000,55,2,48,0
2022,2,2,Machine Learning Developer,78791,8,2,6,1
2021,1,2,Computer Vision Engineer,24000,7,2,5,1
2022,2,2,Data Analyst,43966,21,2,19,1
2022,1,2,Data Scientist,210000,55,2,48,1
2020,2,2,Data Engineer,112872,20,1,18,2
2021,2,2,Data Architect,150000,55,2,48,2
2020,0,2,Data Scientist,62726,14,1,12,0
2021,1,3,Staff Data Scientist,105000,55,2,48,1
2021,2,2,Data Engineer,28476,44,2,40,2
2021,2,2,Data Engineer,110000,55,2,48,2
2021,1,2,Data Analytics Engineer,50000,56,2,18,1
2022,3,2,Data Analyst,130000,55,2,48,1
2021,0,2,Machine Learning Engineer,125000,55,2,48,0
2020,0,2,Data Scientist,39916,19,0,17,1
2020,2,2,Data Engineer,74130,2,1,2,2
2020,0,3,Business Data Analyst,100000,55,2,48,2
2021,2,2,Data Architect,170000,55,2,48,2
2021,1,2,Data Engineering Manager,150000,55,0,48,2
2021,2,2,Research Scientist,63810,8,2,6,1
2022,2,2,Data Analyst,135000,55,2,48,1
2022,2,2,Machine Learning Engineer,87425,3,2,3,2
2021,2,2,Data Scientist,116914,20,1,18,2
2022,1,2,Data Scientist,205300,55,0,48,2
2021,2,2,Cloud Data Engineer,89294,50,1,44,2
2020,0,2,Data Analyst,91000,55,2,48,2
2021,1,2,Data Scientist,103691,8,2,6,2
2022,0,2,Data Analytics Engineer,20000,43,0,39,1
2022,1,2,Data Science Manager,137141,55,2,48,1
2022,2,2,Data Analyst,20000,21,2,19,0
2021,0,2,Machine Learning Engineer,81000,55,1,48,0
2022,2,2,Machine Learning Infrastructure Engineer,58255,46,1,41,2
2022,1,2,Machine Learning Engineer,214000,55,2,48,1
